8490306941,FPE6063,12/31/2016,14,FORD,74th St,KINGS,0633A,12,31
1415255441,GLV9766,12/31/2016,21,CHEVR,FULTON STREET,KINGS,0740A,12,31
8487662717,CAAD923,12/31/2016,38,DODGE,Flushing Lot #2,QUEEN,1012A,12,31
7808345532,FRP3459,12/31/2016,38,HONDA,3rd Ave,KINGS,0616P,12,31
8327053942,FJF5358,12/31/2016,68,HONDA,N 4th St,KINGS,0603P,12,31
1417486703,HJW3792,12/31/2016,21,MAZDA,WHITE PLAINS ROAD,BRONX,0808A,12,31
8487561548,EWB9865,12/31/2016,38,FORD,161st St,QUEEN,1101A,12,31
7690781779,DGB2895,12/31/2016,38,HONDA,Church Ave,KINGS,1157A,12,31
8172040684,HEH9440,12/31/2016,38,CHRYS,Gelston Ave,KINGS,0408P,12,31
8493254411,FHE3115,12/31/2016,37,LEXUS,3rd Ave,NYC,0449P,12,31
7661048371,FPL3405,12/31/2016,37,VOLKS,Lexington Ave,NYC,1220P,12,31
8049175327,EMZ9998,12/31/2016,38,KIA,Wall St,NYC,1103A,12,31
8489153887,GW552,12/31/2016,20,JEEP,163rd St,QUEEN,1036A,12,31
7310304214,DPM4276,12/31/2016,40,MAZDA,15th St,KINGS,1048A,12,31
5094894638,HLK5485,12/31/2016,7,CADIL,RICHMOND RD (W/B) @,ST,1143A,12,31
7661490547,FJW9930,12/31/2016,37,BMW,3rd Ave,NYC,0928A,12,31
8363526009,P314LG,12/31/2016,37,JEEP,Ditmars Lot #1,QUEEN,0228P,12,31
8018770694,EHC4096,12/31/2016,71,FORD,Bailey Ave,BRONX,0948A,12,31
1417524182,GLR8098,12/31/2016,21,INFIN,W BURNSIDE AVE,BRONX,0752A,12,31
7619876571,R38CCZ,12/31/2016,40,TOYOT,Clay Ave,BRONX,0759A,12,31
1417078972,JYZ9749,12/31/2016,67,HONDA,BETHEL,KINGS,0539A,12,31
1415288227,GCD8567,12/31/2016,19,HONDA,PATCHEN AV,KINGS,0425P,12,31
8393035790,XCNZ25,12/31/2016,38,ISUZU,Livingston St,KINGS,0915A,12,31
8489907389,BVF0072,12/31/2016,21,ROVER,Parkside Ave,KINGS,0736A,12,31
8491507644,EVV1445,12/31/2016,38,HONDA,Grand St,KINGS,0848A,12,31
1419040996,GGU9266,12/31/2016,21,DODGE,RUTLAND RD,KINGS,0847A,12,31
8291056602,DNW2932,12/31/2016,40,TOYOT,Hewes St,KINGS,0908A,12,31
1417456991,JXK2186,12/31/2016,21,HONDA,ZEREGA AVE,BRONX,0856A,12,31
8494754300,17618MD,12/31/2016,38,CHEVR,Davidson Ave,BRONX,0909A,12,31
8494453671,GUV9647,12/31/2016,38,NISSA,Crescent Ave,BRONX,1116A,12,31
8124005801,GSG4252,12/31/2016,14,AUDI,11th Ave,NYC,0555P,12,31
8290610026,GNP4260,12/31/2016,21,HONDA,Castle Hill Ave,BRONX,0838A,12,31
8486814406,62561MG,12/31/2016,38,FORD,Britton Ave,QUEEN,0911A,12,31
8494405809,W22FBA,12/31/2016,20,ME/BE,Hoffman St,BRONX,1258P,12,31
8177612724,T665308C,12/31/2016,46,TOYOT,Coney Island Ave,KINGS,0416P,12,31
8494754233,KFB8959,12/31/2016,38,HONDA,E 190th St,BRONX,0843A,12,31
8494655620,DFW8375,12/31/2016,38,INFIN,Jerome Ave,BRONX,0909A,12,31
8363526150,H37DSJ,12/31/2016,38,BMW,Steinway St,QUEEN,0451P,12,31
8470526790,GUR4548,12/31/2016,38,ME/BE,1st Ave,NYC,1201P,12,31
8490556647,41955JZ,12/31/2016,40,CHEVR,5th Ave,KINGS,1238P,12,31
8486959421,356LC5,12/31/2016,38,MAZDA,78th St,QUEEN,1012A,12,31
5094897287,3BT9005,12/31/2016,7,FORD,ATLANTIC AVE (W/B) @,BK,0330P,12,31
8487907910,ALU5217,12/31/2016,14,LEXUS,Main St,QUEEN,0406P,12,31
8487808426,AVW7175,12/31/2016,38,TOYOT,79th St,QUEEN,0212P,12,31
8327053772,4FMD40,12/31/2016,14,HONDA,S 5th St,KINGS,0421P,12,31
8490911113,HHA3406,12/31/2016,20,FORD,Halsey St,KINGS,0723A,12,31
8297560363,HKS9126,12/31/2016,71,TOYOT,E 7th St,KINGS,0301P,12,31
8152074998,5NMW232,12/31/2016,21,FORD,Utica Ave,KINGS,0743A,12,31
8489808272,DAW3329,12/31/2016,21,NISSA,Nostrand Ave,KINGS,0753A,12,31
8084038321,EPN0331,12/31/2016,16,HONDA,E 61st St,NYC,1015A,12,31
8195052174,AF78259,12/31/2016,38,NISSA,36th Ave,QUEEN,0255P,12,31
8487561664,HJP1599,12/31/2016,38,HONDA,162nd St,QUEEN,1217P,12,31
1415243384,XT555Y,12/31/2016,78,FORD,WHIPPLE ST,KINGS,0100A,12,31
8490460176,R81DLJ,12/31/2016,21,SUBAR,5th Ave,KINGS,0815A,12,31
8483503414,P23GJR,12/31/2016,16,JEEP,W 43rd St,NYC,0147P,12,31
8494356197,GWV2844,12/31/2016,38,ME/BE,Broadway,BRONX,1044A,12,31
8405545542,HFW7689,12/31/2016,40,HONDA,Highlawn Ave,KINGS,0757A,12,31
7661490663,KDD5215,12/31/2016,16,NISSA,3rd Ave,NYC,1116A,12,31
8487162526,GFT9291,12/31/2016,38,HYUND,41st St,QUEEN,0906A,12,31
8026782239,HHV1093,12/31/2016,21,NISSA,108th St,QUEEN,0836A,12,31
8393035831,5CC3870,12/31/2016,38,ROVER,Flatbush Ave Exten,KINGS,0936A,12,31
7729127532,HCA6482,12/31/2016,71,LEXUS,Court St,KINGS,0138P,12,31
8241523208,FHM2587,12/31/2016,38,NISSA,169th St,QUEEN,0955A,12,31
8490911484,FWB2855,12/31/2016,48,HONDA,Cornelia St,KINGS,0920A,12,31
8487410625,EJM7022,12/31/2016,21,BMW,46th St,QUEEN,0852A,12,31
